Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
mul_E3_mult_16_U15              1.179e+08       3.575e+08   0.001261   0.0005699   6.581e-05    0.001896      0.1398    FA_X1
U479                            5.004e+08       4.849e+08   0.001407    0.000437   3.235e-05    0.001877      0.1383    OAI22_X1
mul_E2_mult_16_U14              1.746e+08       3.726e+08   0.001296   0.0005226   5.812e-05    0.001877      0.1383    FA_X1
U435                            4.837e+08       4.834e+08   0.001448   0.0004036    2.49e-05    0.001876      0.1383    OAI22_X1
mul_F0_mult_16_U45               1.58e+08       3.016e+08   0.001077   0.0007228   6.914e-05    0.001869      0.1378    FA_X1
mul_F1_mult_16_U45              1.527e+08       3.031e+08   0.001079   0.0007188    6.76e-05    0.001866      0.1375    FA_X1
mul_E2_mult_16_U334             4.875e+07       7.559e+07  0.0004851    0.001304    7.04e-05     0.00186      0.1371    XOR2_X2
U453                            5.011e+08       4.815e+08   0.001439   0.0003884   2.497e-05    0.001853      0.1366    OAI22_X1
mul_F1_mult_16_U41              1.587e+08       3.001e+08   0.001069   0.0007149   6.866e-05    0.001852      0.1365    FA_X1
U443                            4.985e+08       4.773e+08   0.001429   0.0003982    2.52e-05    0.001852      0.1365    OAI22_X1
mul_E3_mult_16_U335             4.875e+07       7.559e+07    0.00047    0.001307     7.1e-05    0.001848      0.1362    XOR2_X2
mul_F2_mult_16_U50              1.379e+08       2.997e+08    0.00107   0.0007047    6.95e-05    0.001844       0.136    FA_X1
mul_E3_mult_16_U41              1.281e+08       2.978e+08   0.001058   0.0007117   6.557e-05    0.001835      0.1353    FA_X1
int_reg_1d_reg_8_               1.667e+08       9.751e+07  0.0008621   0.0008822   8.828e-05    0.001833      0.1351    DFFR_X1
mul_F2_mult_16_U41              1.387e+08       2.925e+08   0.001044   0.0007073   6.758e-05    0.001819      0.1341    FA_X1
mul_F1_mult_16_U50              1.444e+08       2.918e+08   0.001042   0.0007052   6.821e-05    0.001816      0.1338    FA_X1
U477                            4.917e+08       4.788e+08    0.00139   0.0003903   3.235e-05    0.001813      0.1336    OAI22_X1
mul_F3_mult_16_U333             4.766e+08       5.246e+08   0.001035     0.00074   3.678e-05    0.001812      0.1336    XOR2_X1
mul_F0_mult_16_U334             4.875e+07       7.559e+07  0.0004851    0.001256    7.04e-05    0.001812      0.1336    XOR2_X2
