Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
mul_B0_mult_16_U253             1.872e+08       1.872e+08  0.0001953   0.0004794   1.502e-05   0.0006897     0.08945    INV_X1
mul_B2_mult_16_U25              3.831e+07       1.147e+08  0.0004073   0.0002144   6.765e-05   0.0006894     0.08942    FA_X1
mul_A2_mult_16_U234             2.024e+07       2.916e+07  0.0001708   0.0004442   7.393e-05    0.000689     0.08936    XNOR2_X2
mul_B2_mult_16_U234             2.024e+07       2.916e+07  0.0001708   0.0004437   7.393e-05   0.0006884     0.08929    XNOR2_X2
FE_OFC7_int_reg_1d_3            2.048e+07       2.048e+07  8.146e-05   0.0005805   2.341e-05   0.0006854     0.08889    CLKBUF_X2
mul_B0_mult_16_U252             2.029e+08       2.029e+08  0.0001952     0.00048    1.01e-05   0.0006853     0.08888    INV_X1
mul_B0_mult_16_U389             1.904e+08       1.508e+08  0.0003344   0.0003014    4.14e-05   0.0006772     0.08783    OAI21_X1
FE_RC_14_0                      2.333e+08       1.928e+08  0.0003975    0.000245    3.41e-05   0.0006766     0.08775    AOI21_X1
mul_A1_mult_16_U30              4.289e+07        1.12e+08  0.0003981   0.0002111    6.69e-05   0.0006761     0.08769    FA_X1
FE_DBTC5_int_reg_1d_0           2.386e+07       2.386e+07   2.23e-05   0.0006386   1.453e-05   0.0006754      0.0876    INV_X1
mul_B1_mult_16_U53              5.518e+07       1.053e+08  0.0003758   0.0002345   6.389e-05   0.0006741     0.08743    FA_X1
mul_B0_mult_16_U240             2.096e+08       2.096e+08   0.000224   0.0004328   1.713e-05   0.0006739      0.0874    INV_X1
FE_DBTC0_int_reg_2d_0           2.361e+07       2.361e+07  2.205e-05   0.0006328   1.383e-05   0.0006687     0.08673    INV_X1
mul_B1_mult_16_U30              4.289e+07        1.12e+08  0.0003981   0.0002002    6.69e-05   0.0006652     0.08628    FA_X1
mul_B0_mult_16_U274             1.658e+08       1.316e+08  0.0003098   0.0003175   3.646e-05   0.0006638     0.08609    OAI22_X1
mul_B2_mult_16_U41              4.506e+07       9.807e+07  0.0003494   0.0002429   7.143e-05   0.0006637     0.08608    FA_X1
mul_A1_mult_16_U41               4.94e+07       1.012e+08   0.000358   0.0002392   6.635e-05   0.0006635     0.08605    FA_X1
mul_A2_mult_16_U41              5.904e+07       9.855e+07  0.0003514   0.0002385   6.552e-05   0.0006555     0.08501    FA_X1
IN_reg_reg_2_                   1.113e+08       5.157e+07  0.0004708   9.584e-05   8.824e-05   0.0006549     0.08494    DFFR_X1
