Information: Updating design information... (UID-85)
Information: Propagating switching activity (low effort zero delay simulation). (PWR-6)
Warning: There is no defined clock in the design. (PWR-80)
Warning: Invalid switching activity annotation on constant net(s) is being ignored. (PWR-421)
 
****************************************
Report : power
        -net
        -cell
        -hier
        -analysis_effort low
        -sort_mode dynamic_power
Design : myiir_adv
Version: O-2018.06-SP4
Date   : Tue Nov  3 18:00:35 2020
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /software/dk/nangate45/synopsys/NangateOpenCellLibrary_typical_ecsm_nowlm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
myiir_adv              5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
int_mul_F0_d[9]                4.055    0.540    0.0488      0.1196  a
int_mul_F0_d[10]               4.055    0.540    0.0488      0.1196  a
int_mul_F1_d[5]                4.055    0.540    0.0488      0.1196  a
int_mul_F1_d[6]                4.055    0.540    0.0488      0.1196  a
int_mul_F1_d[7]                4.055    0.540    0.0488      0.1196  a
int_mul_F1_d[8]                4.055    0.540    0.0488      0.1196  a
int_mul_F1_d[9]                4.055    0.540    0.0488      0.1196  a
int_mul_F1_d[10]               4.055    0.540    0.0488      0.1196  a
n271                           4.035    0.460    0.0488      0.1190  a
int_mul_F2_d[5]                4.055    0.531    0.0484      0.1187  a
int_mul_F2_d[6]                4.055    0.531    0.0484      0.1187  a
int_mul_F2_d[7]                4.055    0.531    0.0484      0.1187  a
int_mul_F2_d[8]                4.055    0.531    0.0484      0.1187  a
int_mul_F2_d[9]                4.055    0.531    0.0484      0.1187  a
int_mul_F2_d[10]               4.055    0.531    0.0484      0.1187  a
int_mul_F3_d[2]                3.782    0.535    0.0480      0.1098  a
int_mul_F3_d[3]                3.782    0.535    0.0480      0.1098  a
int_mul_F3_d[4]                3.782    0.535    0.0480      0.1098  a
int_mul_F3_d[5]                3.782    0.535    0.0480      0.1098  a
int_mul_F3_d[6]                3.782    0.535    0.0480      0.1098  a
int_mul_F3_d[7]                3.782    0.535    0.0480      0.1098  a
int_mul_F3_d[8]                3.782    0.535    0.0480      0.1098  a
int_mul_F3_d[9]                3.782    0.535    0.0480      0.1098  a
int_mul_F3_d[10]               3.782    0.535    0.0480      0.1098  a
int_reg_3d[2]                  5.505    0.639    0.0401      0.1334  a
n290                           4.035    0.488    0.0457      0.1116  a
n289                           4.035    0.492    0.0457      0.1116  a
int_mul_E2_d[0]                4.085    0.327    0.0431      0.1065  a
int_mul_F1_d[3]                4.055    0.499    0.0454      0.1113  a
n194                           1.981    0.374    0.0522      0.0625  a
int_reg_1d[0]                  6.247    0.512    0.0370      0.1400  a
int_reg_2d[10]                 2.648    0.540    0.0488      0.0781  a
VIN_reg_d2                    51.421    0.907    0.0064      0.1999  a
n215                          51.192    0.093    0.0064      0.1990  a
n303                           1.981    0.615    0.0503      0.0602  a
n180                           1.981    0.569    0.0514      0.0616  a
n249                           1.981    0.673    0.0484      0.0580  a
n250                           1.981    0.673    0.0484      0.0580  a
n251                           1.981    0.673    0.0484      0.0580  a
n252                           1.981    0.673    0.0484      0.0580  a
n253                           1.981    0.673    0.0484      0.0580  a
n254                           1.981    0.673    0.0484      0.0580  a
n255                           1.981    0.673    0.0484      0.0580  a
n256                           1.981    0.673    0.0484      0.0580  a
int_add_F1_d[3]                3.782    0.363    0.0423      0.0968  a
n260                           1.981    0.669    0.0480      0.0575  a
n261                           1.981    0.669    0.0480      0.0575  a
n262                           1.981    0.669    0.0480      0.0575  a
n263                           1.981    0.669    0.0480      0.0575  a
n264                           1.981    0.669    0.0480      0.0575  a
n265                           1.981    0.669    0.0480      0.0575  a
n266                           1.981    0.669    0.0480      0.0575  a
n267                           1.981    0.669    0.0480      0.0575  a
n268                           1.981    0.669    0.0480      0.0575  a
